ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
10225890,HY413213,09/06/2015 08:23:00 PM,032XX N WHIPPLE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1733,17,33,21,18,1155482,1921300,2015,02/10/2018 03:50:01 PM,41.93985063,-87.70396396,"(41.939850634, -87.703963963)",2,21538,22,425,20,39,1,23
10225891,HY413272,09/06/2015 09:40:00 PM,039XX W WILCOX ST,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,TRUE,FALSE,1122,11,28,26,18,1150216,1899047,2015,02/10/2018 03:50:01 PM,41.87889073,-87.72389936,"(41.878890725, -87.723899363)",11,21572,27,736,23,30,16,82
10225892,HY411078,09/04/2015 11:30:00 PM,054XX S MARYLAND AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,233,2,5,41,3,1182834,1869354,2015,02/10/2018 03:50:01 PM,41.79671322,-87.60505772,"(41.796713215, -87.605057716)",32,21192,8,440,33,10,24,124
10225893,HY413246,09/06/2015 09:18:00 PM,072XX S WASHTENAW AVE,560,ASSAULT,SIMPLE,SIDEWALK,TRUE,TRUE,831,8,18,66,08A,1159624,1856621,2015,02/10/2018 03:50:01 PM,41.76228013,-87.69052028,"(41.762280132, -87.690520283)",6,21867,64,333,30,58,13,208
10225894,HY413252,09/06/2015 08:30:00 PM,047XX W MARQUETTE RD,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,833,8,13,64,14,1145778,1859751,2015,02/10/2018 03:50:01 PM,41.77114212,-87.74118949,"(41.771142119, -87.741189488)",23,4300,63,318,15,58,13,209
10225895,HY413263,09/06/2015 09:20:00 PM,066XX S OAKLEY AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,TRUE,832,8,15,66,08A,1162216,1860566,2015,02/10/2018 03:50:01 PM,41.77305223,-87.68091052,"(41.773052225, -87.680910521)",44,22257,64,370,2,23,13,207
10225896,HY413254,09/06/2015 10:00:00 AM,017XX W 77TH ST,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,611,6,17,71,5,1165901,1853631,2015,09/17/2015 11:37:18 AM,41.75394414,-87.66759894,"(41.753944135, -87.667598944)",17,21554,70,573,31,59,20,231
10225897,HY413251,09/06/2015 09:00:00 PM,015XX W RANDOLPH ST,1330,CRIMINAL TRESPASS,TO LAND,PARK PROPERTY,TRUE,FALSE,1224,12,27,28,26,1166342,1901369,2015,02/10/2018 03:50:01 PM,41.88493299,-87.66462131,"(41.884932988, -87.664621314)",41,14917,29,63,46,44,15,92
10225898,HY413290,09/06/2015 03:00:00 PM,010XX N LARAMIE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,TRUE,TRUE,1531,15,37,25,26,1141506,1906350,2015,02/10/2018 03:50:01 PM,41.89909631,-87.75570072,"(41.899096313, -87.755700717)",4,4299,26,585,45,5,25,69
10225902,HY413288,09/06/2015 08:00:00 PM,031XX N KOSTNER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2523,25,31,20,08B,1146496,1920611,2015,02/10/2018 03:50:01 PM,41.93813624,-87.73700817,"(41.938136244, -87.737008169)",7,22618,21,411,17,21,6,175
10225903,HY413319,09/05/2015 07:00:00 PM,021XX S ALLPORT ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1235,12,25,31,14,1168363,1890056,2015,09/17/2015 11:37:18 AM,41.85384576,-87.65752698,"(41.85384576, -87.657526977)",8,14920,33,365,26,43,15,158
10225905,HY413277,09/06/2015 09:48:00 PM,088XX S BURLEY AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,424,4,7,46,26,1199205,1846953,2015,02/10/2018 03:50:01 PM,41.73484723,-87.54577705,"(41.734847232, -87.545777045)",43,21202,42,509,47,25,19,239
10225906,HY413189,09/06/2015 07:07:00 PM,075XX S LAFAYETTE AVE,2022,NARCOTICS,POSS: COCAINE,RESIDENCE,TRUE,FALSE,623,6,6,69,18,1177144,1855013,2015,02/10/2018 03:50:01 PM,41.75749038,-87.62635569,"(41.757490382, -87.626355688)",31,21554,67,495,32,59,20,228
10225907,HY413281,09/06/2015 09:30:00 PM,091XX S ASHLAND AVE,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,TRUE,FALSE,2221,22,21,73,26,1167278,1844029,2015,02/10/2018 03:50:01 PM,41.72756551,-87.66282686,"(41.727565512, -87.662826863)",18,21554,72,195,13,59,9,245
10225908,HY413295,09/06/2015 09:45:00 PM,068XX S CAMPBELL AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,832,8,15,66,18,1160887,1859240,2015,02/10/2018 03:50:01 PM,41.76944106,-87.68581893,"(41.769441055, -87.685818925)",44,21867,64,383,31,58,13,207
10225909,HY413292,09/06/2015 02:30:00 PM,034XX N SPRINGFIELD AVE,650,BURGLARY,HOME INVASION,RESIDENCE,FALSE,FALSE,1732,17,30,21,5,1149787,1922521,2015,02/10/2018 03:50:01 PM,41.94331398,-87.72486313,"(41.943313984, -87.724863127)",27,21538,22,138,21,39,1,20
10225910,HY413145,09/06/2015 07:45:00 PM,034XX W WAVELAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1732,17,35,16,08B,1152943,1924392,2015,02/10/2018 03:50:01 PM,41.94838608,-87.7132134,"(41.948386084, -87.713213403)",15,21538,16,325,12,39,1,20
10225911,HY413323,09/06/2015 10:40:00 PM,066XX S HALSTED ST,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,723,7,6,68,26,1172118,1860614,2015,02/10/2018 03:50:01 PM,41.77297208,-87.64461087,"(41.772972076, -87.644610871)",19,21559,66,436,32,11,17,202
10225912,HY413232,09/06/2015 12:15:00 PM,055XX W JACKSON BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,FALSE,TRUE,1522,15,29,25,26,1139647,1898125,2015,02/10/2018 03:50:01 PM,41.87656002,-87.76272975,"(41.876560022, -87.762729752)",52,22216,26,68,7,32,25,97
